e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,renda_familiar,n_de_familiares,sexo,idade,cor_raca,estado_civil,area_de_formacao,formacao_academica
2,4,5,4,2,5,2,5,4,5,1,4,4,5,5,2,5,4,4,5,1,5,1,4,4,5,1,2,1,1,2,1,1,2,2,2,1,1,2,2,4,3,2,5,5,5,2,3,2,4,4,5,3,5,3,4,3,3,4,5,3600,2,Feminino,21,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,4,3,5,5,5,5,3,5,5,5,5,5,5,1,2,5,2,5,4,2,5,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,5,4,4,3,4,4,3,2,4,4,3,3,2,4,4,2,2,3000,4,Masculino,24,Parda,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
4,4,4,3,5,4,5,5,4,4,5,5,5,4,2,4,4,5,4,5,5,5,2,4,5,5,1,1,5,1,1,1,1,1,1,1,4,1,2,2,5,3,4,5,5,5,5,5,4,4,4,5,3,5,3,4,4,4,4,5,1200,5,Masculino,20,Parda,Solteiro(a),"Educação. Ex.: Pedagogia, cursos de licenciatura, etc.;","Ciências sociais, artes e educação"
2,3,4,4,2,2,2,5,4,5,2,5,4,5,3,2,3,3,3,5,3,4,2,5,2,3,1,2,1,1,2,1,1,4,4,2,4,1,4,7,3,2,4,4,4,4,3,2,3,2,2,4,4,4,3,2,3,2,3,4,2000,5,Feminino,21,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
2,4,5,5,4,5,3,5,4,5,2,5,4,2,2,1,3,4,5,5,4,5,3,5,4,3,1,3,2,1,2,1,1,1,4,3,3,1,3,7,5,3,3,5,3,4,5,3,5,1,1,1,2,5,3,1,3,5,1,2,500,2,Masculino,18,Parda,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
2,5,5,5,3,3,2,3,5,4,1,3,4,3,4,1,5,2,3,3,3,4,3,1,3,4,2,3,3,1,2,1,1,1,1,1,1,1,1,7,2,4,5,4,5,5,4,5,3,5,3,2,5,5,5,5,5,5,2,3,5000,5,Masculino,21,Branca,Solteiro(a),"Saúde e Bem-estar. Ex.: Medicina, Educação física, Odontologia, Serviço social, etc.;",Saúde
1,4,5,5,3,3,4,4,4,4,4,4,5,5,1,3,4,3,5,5,4,4,1,5,5,5,1,2,2,1,2,1,1,4,4,2,3,1,4,4,4,5,2,3,4,4,3,4,4,3,1,2,3,3,3,3,3,4,2,2,4000,5,Feminino,18,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
2,5,5,5,5,5,5,4,5,3,3,3,5,5,1,3,5,4,5,4,5,5,3,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,4,4,4,4,5,4,3,2,3,4,4,3,2,3,4,1,2,2862,2,Feminino,19,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,5,5,5,5,4,5,4,5,4,3,3,4,4,2,2,4,2,4,4,2,5,3,3,4,5,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,3,4,3,4,5,3,4,4,2,2,2,3,5,4,2,4,4,1,2,2745,5,Feminino,18,Parda,Solteiro(a),"Saúde e Bem-estar. Ex.: Medicina, Educação física, Odontologia, Serviço social, etc.;",Saúde
5,3,5,3,5,2,5,5,3,3,5,4,3,3,2,2,3,4,4,4,3,2,2,2,4,4,4,2,5,1,3,3,3,1,1,6,3,3,1,7,3,4,3,4,3,3,3,4,4,2,2,4,3,5,4,3,3,4,2,2,1650,3,Feminino,19,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,5,4,5,4,4,5,4,4,5,5,5,5,4,2,2,3,3,5,4,3,5,3,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,4,5,3,3,4,3,2,1,2,4,4,4,3,3,4,2,3,1500,3,Feminino,22,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,4,4,4,3,4,3,4,4,5,3,5,4,2,2,2,4,4,4,4,3,4,2,3,2,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,3,2,2,4,4,2,2,4,3,4,2,2,2,2,2,2,2,3,2,3,3500,4,Masculino,28,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
2,5,5,5,3,4,3,4,4,5,3,5,4,3,3,4,3,5,4,5,4,5,3,5,5,4,1,2,2,1,1,4,4,1,1,1,2,1,1,1,4,3,3,4,4,4,5,4,3,5,1,5,3,5,3,5,4,3,5,2,2700,3,Masculino,20,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
1,4,4,5,4,5,4,2,5,5,4,5,5,4,3,5,5,5,5,3,3,1,3,1,1,3,1,7,3,1,3,1,1,1,1,1,3,1,5,1,4,2,2,5,5,2,2,3,3,5,4,5,2,5,2,5,3,3,4,4,2000,4,Feminino,20,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,4,4,5,5,4,5,4,4,5,3,4,5,4,2,2,3,3,4,4,3,5,2,3,4,4,1,1,1,1,1,1,1,4,4,6,2,1,4,4,4,3,4,5,4,3,4,4,2,2,2,3,3,5,4,3,4,3,2,3,2500,5,Feminino,24,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,5,3,5,4,5,4,3,5,5,4,5,5,4,1,3,5,4,3,3,3,4,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,3,4,4,5,4,2,4,4,3,2,4,3,4,3,3,4,3,2,4,3000,5,Feminino,18,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,5,5,5,5,3,5,5,5,5,5,5,5,5,1,3,4,5,5,5,5,5,5,5,5,5,1,2,1,1,1,1,1,4,4,5,4,1,1,7,3,3,3,5,5,2,5,5,2,3,1,4,2,4,2,4,4,2,2,5,6500,8,Masculino,27,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,5,2,5,5,5,5,3,5,5,4,5,5,3,1,5,5,5,4,3,2,5,5,3,5,5,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,3,2,5,4,4,5,5,5,4,1,2,3,2,3,2,3,4,1,2,5000,6,Masculino,26,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,5,4,5,5,5,5,2,5,5,5,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,3,3,4,5,4,4,3,3,3,2,3,4,4,4,3,4,4,2,3,1000,5,Feminino,25,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,5,3,5,4,5,4,4,4,5,5,4,4,5,1,1,4,3,4,4,4,4,2,4,5,4,1,3,1,1,2,1,1,1,1,1,1,1,1,1,3,3,4,4,4,5,5,4,4,3,2,4,4,4,4,4,4,4,2,2,1000,4,Feminino,25,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,5,5,5,5,5,5,5,5,5,4,5,5,4,1,2,4,4,4,5,4,2,2,4,4,5,1,3,1,2,2,2,1,1,2,1,1,1,1,1,3,4,3,5,4,5,2,4,3,2,1,1,5,5,5,2,4,4,2,3,3500,4,Feminino,22,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,5,4,5,3,3,3,4,4,4,3,4,3,4,5,4,5,4,4,4,3,4,3,3,3,4,1,2,2,1,2,1,1,3,3,3,3,1,3,3,4,3,2,5,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,1000,2,Feminino,21,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,5,5,5,5,4,4,5,4,4,3,4,5,5,1,2,4,3,4,5,1,5,4,4,5,5,1,1,1,1,1,1,1,1,2,2,1,2,3,3,2,3,3,3,3,4,4,4,5,3,2,1,3,3,4,1,3,5,2,2,980,4,Masculino,18,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,4,5,5,4,5,5,5,5,5,4,5,5,5,1,3,4,4,5,5,4,5,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,3,3,5,5,4,5,5,4,3,2,5,3,5,2,4,3,4,4,4,2000,2,Feminino,21,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,4,4,4,2,3,4,5,5,2,4,2,4,4,2,2,4,2,5,4,5,4,4,3,4,4,1,3,1,1,2,1,1,1,1,1,2,1,2,2,1,3,3,2,2,3,2,5,2,2,3,2,2,4,4,2,2,3,2,4,2500,2,Masculino,19,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,5,4,5,5,2,3,4,4,2,2,2,4,4,2,1,3,3,4,4,3,3,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,4,3,4,3,2,2,3,4,4,3,1,3,4,2,2,1200,4,Feminino,18,Parda,Solteiro(a),"Saúde e Bem-estar. Ex.: Medicina, Educação física, Odontologia, Serviço social, etc.;",Saúde
2,4,4,5,3,3,3,4,4,4,2,4,3,4,4,3,4,5,4,4,2,5,3,3,3,4,1,7,4,1,1,1,1,1,1,1,3,1,1,1,2,2,2,3,5,3,3,4,2,2,2,4,3,2,3,2,3,4,4,1,2600,2,Feminino,19,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,5,5,5,5,4,4,5,5,3,4,3,4,4,2,2,5,2,2,5,2,5,2,5,5,5,1,1,2,1,1,1,1,1,2,1,1,1,1,1,4,4,4,2,3,4,2,5,5,2,1,4,3,5,3,2,3,4,4,2,900,4,Masculino,21,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,5,5,5,5,3,5,5,5,3,4,3,3,3,1,1,3,2,4,3,3,5,3,3,5,4,2,7,3,1,2,1,1,1,1,1,1,1,1,1,3,3,3,5,5,4,5,5,4,3,3,5,4,5,5,5,4,5,3,3,900,1,Feminino,20,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,3,3,5,2,4,4,5,1,3,1,1,1,1,1,1,1,1,1,1,2,1,4,2,2,4,2,2,4,4,3,5,5,5,3,4,2,4,2,4,4,2,1250,4,Feminino,20,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,5,2,5,2,4,4,3,4,5,3,4,4,4,1,5,5,3,4,3,3,5,4,5,5,4,1,7,1,1,1,3,1,4,4,4,3,1,4,4,5,3,3,4,5,3,4,4,3,3,2,3,2,1,2,4,3,4,3,3,2000,4,Feminino,19,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,5,5,5,5,4,5,4,5,5,5,5,5,3,1,2,4,4,5,4,5,5,3,3,5,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3,3,5,5,5,5,3,1,3,5,5,4,1,4,5,3,2,7000,5,Masculino,18,Amarela,Solteiro(a),"Artes e Humanidades. Ex.: Cinema e Audiovisual, Música (Bacharelado), Teologia, História, Letras etc.;","Ciências sociais, artes e educação"
4,5,4,5,4,2,5,4,4,4,3,3,4,3,2,2,4,4,3,4,1,4,2,2,3,3,1,3,1,1,2,1,1,1,1,1,1,1,3,1,3,3,4,4,4,3,2,2,3,4,2,3,1,4,3,3,2,3,3,3,3000,3,Feminino,19,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,4,4,4,5,5,4,5,4,5,4,5,4,4,1,3,4,2,4,5,3,5,4,5,5,4,1,2,1,1,5,1,1,1,1,1,4,2,5,2,4,3,4,5,5,4,4,3,4,3,1,3,4,4,4,3,4,4,3,4,1600,4,Masculino,24,Preta,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
2,4,5,4,3,3,3,2,4,4,3,5,4,3,3,2,3,5,4,3,5,5,3,4,5,5,2,2,1,1,1,2,1,1,1,1,1,1,4,1,4,2,2,4,4,2,4,4,2,5,2,4,3,3,1,4,3,3,3,4,4000,4,Masculino,24,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
1,5,4,5,3,4,2,5,4,5,4,5,4,5,1,3,3,4,3,5,3,5,3,2,3,4,1,1,1,1,1,1,1,1,1,2,3,1,5,5,2,2,3,3,5,3,5,3,2,3,1,2,4,2,4,1,3,3,3,3,500,5,Feminino,18,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,5,3,5,5,5,5,5,4,5,4,4,4,3,1,1,4,3,5,5,4,4,3,5,3,4,1,2,1,1,2,1,1,1,1,3,1,1,1,1,3,3,3,3,3,4,2,4,5,3,2,2,3,3,3,2,3,4,3,2,1200,4,Masculino,18,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,5,5,5,3,5,4,5,5,5,4,5,5,5,3,5,3,5,5,5,5,5,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,3,4,5,5,5,4,3,2,2,3,3,4,3,3,4,3,2,3,800,8,Feminino,22,Preta,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
5,5,4,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,4,4,4,5,3,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,4,5,4,5,5,3,5,3,3,3,3,3,4,5,3,4,5,4000,4,Masculino,22,Branca,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
5,4,5,5,3,5,3,5,5,5,3,5,4,4,2,2,4,3,4,5,5,5,2,3,4,5,1,3,3,4,3,5,3,1,1,6,2,2,4,4,2,4,4,2,2,3,2,4,5,3,1,1,3,3,4,2,2,4,2,2,10000,5,Masculino,24,Parda,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
5,4,4,4,5,2,5,4,4,4,4,4,3,5,1,2,4,3,3,4,3,5,1,2,4,3,1,2,1,1,2,1,1,3,2,1,1,1,4,2,2,4,4,4,3,3,5,3,4,2,1,1,2,2,3,4,2,3,2,2,1800,4,Masculino,21,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
1,4,4,4,1,3,3,4,4,5,1,3,3,3,3,3,3,4,4,4,3,5,4,5,4,4,1,3,3,1,2,1,1,1,1,1,3,1,2,4,4,2,3,1,4,4,4,5,4,4,4,2,4,3,4,5,4,5,2,2,5000,5,Masculino,19,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,5,5,5,4,5,4,5,5,5,3,5,4,5,2,4,5,3,4,5,1,5,2,3,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,5,5,4,5,4,5,5,4,4,5,5,5,5,4,2,2,3000,3,Feminino,20,Preta,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
3,4,5,5,4,3,4,5,5,3,3,3,4,4,2,2,4,2,4,5,3,2,2,4,3,5,1,2,3,1,1,1,1,1,1,2,1,1,1,4,3,3,4,3,3,4,3,4,3,2,2,3,4,5,4,2,3,4,2,3,4000,5,Masculino,21,Preta,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,4,5,5,5,4,5,5,4,2,3,2,5,5,1,1,4,1,5,5,5,5,2,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,5,4,5,1,5,3,3,4,2,4,5,4,5,5,4,1,3,800,3,Masculino,21,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,4,5,5,4,3,5,5,5,5,4,3,4,5,5,2,5,2,3,5,4,5,2,4,3,5,3,4,1,1,4,1,2,2,2,4,3,1,5,2,4,5,5,1,3,5,5,5,5,2,2,4,5,5,5,1,5,5,3,2,2000,4,Masculino,24,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
5,5,5,5,5,3,5,4,5,2,3,4,3,4,2,1,4,3,3,4,2,4,2,4,4,5,1,1,1,1,1,1,1,4,4,4,1,1,4,4,4,3,4,5,5,5,4,4,2,4,3,4,3,5,4,4,4,3,3,4,3500,5,Feminino,23,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,4,3,5,5,4,4,5,4,4,5,4,4,5,2,2,3,5,4,4,2,5,3,2,4,4,1,1,1,1,5,1,1,1,1,1,3,1,1,1,3,2,2,2,5,2,4,2,3,5,3,4,2,2,4,4,2,3,2,4,998,2,Feminino,21,Preta,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
2,5,5,5,2,3,1,2,5,2,1,3,4,3,5,3,5,2,2,2,3,3,2,3,3,5,1,2,1,1,1,1,1,1,1,1,7,1,1,3,2,4,5,2,3,5,1,5,3,5,4,2,5,5,5,4,5,5,2,2,5000,5,Masculino,21,Branca,Solteiro(a),"Artes e Humanidades. Ex.: Cinema e Audiovisual, Música (Bacharelado), Teologia, História, Letras etc.;","Ciências sociais, artes e educação"
4,5,5,4,5,3,5,4,4,5,5,5,4,3,2,2,3,5,4,4,5,5,3,2,4,3,1,1,1,1,1,1,1,4,4,1,1,1,4,1,4,2,3,4,5,2,3,3,3,4,4,2,2,3,2,4,3,4,1,2,3000,4,Feminino,21,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
2,5,4,4,2,3,3,4,5,5,2,3,4,3,3,3,3,4,4,4,3,4,3,2,2,3,1,2,1,1,1,2,1,4,2,1,1,1,1,2,2,3,3,4,5,5,4,3,3,5,3,2,3,2,4,3,3,4,1,3,4000,2,Masculino,23,Branca,Solteiro(a),"Saúde e Bem-estar. Ex.: Medicina, Educação física, Odontologia, Serviço social, etc.;",Saúde
3,5,5,5,4,5,5,5,4,3,3,4,5,5,2,2,4,5,5,5,5,5,4,4,5,5,2,3,2,2,5,5,2,1,1,6,2,2,1,2,2,4,5,3,2,4,3,4,4,2,4,3,5,4,5,2,3,4,3,2,NA,NA,Masculino,25,Parda,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
2,3,1,5,5,4,5,4,4,5,3,4,4,3,1,2,3,4,4,2,4,5,3,2,5,3,1,7,1,1,4,1,1,4,4,1,1,1,5,1,5,2,2,5,5,3,5,3,4,5,5,5,2,3,2,5,2,4,2,3,1220,1,Feminino,20,Preta,Solteiro(a),"Saúde e Bem-estar. Ex.: Medicina, Educação física, Odontologia, Serviço social, etc.;",Saúde
5,5,5,5,5,4,5,4,4,3,3,3,4,4,1,1,4,2,4,4,5,4,2,3,4,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,3,2,2,4,4,3,4,4,2,3,4,4,3,3,3,4,3,3,4,4,500,4,Feminino,20,Branca,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
1,5,5,5,4,4,4,4,4,4,4,4,4,5,1,2,4,3,4,4,5,5,3,4,4,4,1,2,4,1,3,1,1,1,1,2,2,1,2,3,2,3,3,3,4,4,5,4,4,2,1,3,4,4,4,2,3,5,2,2,4000,6,Feminino,25,Preta,Solteiro(a),"Ciências Sociais, Jornalismo e Informação. Ex.: Ciências econômicas, Geografia, Psicologia, etc.;","Ciências sociais, artes e educação"
4,5,4,4,4,5,5,4,5,5,3,5,4,5,4,4,4,4,4,4,3,4,4,4,4,4,2,3,1,1,1,1,1,1,3,3,5,1,1,1,4,3,4,5,5,4,3,4,4,3,1,4,4,4,5,3,4,4,4,2,1500,4,Masculino,20,Preta,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
2,5,5,5,4,5,5,5,5,5,4,5,5,5,4,3,5,3,5,5,5,5,5,4,4,5,4,3,2,1,1,1,1,1,1,1,5,1,4,7,5,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1014,3,Feminino,20,Parda,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
5,4,4,4,3,3,3,5,4,5,2,3,3,4,3,2,4,1,3,5,1,3,2,1,3,3,1,2,1,1,6,1,1,1,1,1,3,1,2,5,2,4,3,5,4,4,2,5,3,1,1,4,5,4,5,1,4,5,2,2,2500,4,Feminino,19,Parda,Solteiro(a),"Tecnologia da informação e Comunicação. Ex.: Engenharia da computação, Ciências da computação etc.;",Ciências exatas e biológicas
3,3,5,5,4,5,4,5,5,5,4,5,4,5,1,1,3,5,4,5,4,5,2,3,5,4,5,2,6,1,3,6,1,2,4,5,2,2,5,7,3,4,5,4,5,5,5,5,4,4,2,3,4,4,5,4,5,5,2,2,2500,5,Feminino,22,Parda,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
5,5,5,5,5,5,5,5,5,3,5,4,5,5,1,2,5,3,5,5,3,3,1,5,5,5,1,1,2,1,1,1,1,1,1,1,1,2,1,6,2,3,4,5,5,5,3,5,4,3,1,3,5,5,5,2,5,3,5,3,1000,4,Feminino,23,Branca,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
5,4,5,5,5,3,4,4,4,4,5,4,4,3,2,1,5,4,3,3,3,3,4,3,4,4,2,2,2,1,2,1,1,2,2,3,1,1,1,1,2,3,3,4,5,3,4,2,2,3,2,2,4,5,4,3,3,3,2,3,2500,2,Feminino,32,Branca,Casado(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
5,4,4,4,4,5,5,4,4,5,5,4,4,4,2,2,4,3,3,4,2,4,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,2,3,4,2,4,4,4,2,2,4,5,4,3,4,4,2,2,4000,5,Masculino,20,Branca,Solteiro(a),"Engenharia, Produção e Construção. Ex.: Engenharia Elétrica, Tecnologia em construção de edifícios, etc.;",Ciências exatas e biológicas
